	t,	conservativ	decay	retard		
	0	0.00E+00	0.00E+00	0.00E+00		
	64800	0.00E+00	0.00E+00	0.00E+00		
	129600	0.00E+00	0.00E+00	0.00E+00		
	194400	0.00E+00	0.00E+00	0.00E+00		
	259200	0.00E+00	0.00E+00	0.00E+00		
	324000	0.00E+00	0.00E+00	0.00E+00		
	388800	0.00E+00	0.00E+00	0.00E+00		
	453600	0.00E+00	0.00E+00	0.00E+00		
	518400	0.00E+00	0.00E+00	0.00E+00		
	583200	0.00E+00	0.00E+00	0.00E+00		
	648000	0.00E+00	0.00E+00	0.00E+00		
	712800	0.00E+00	0.00E+00	0.00E+00		
	777600	0.00E+00	0.00E+00	0.00E+00		
	842400	0.00E+00	0.00E+00	0.00E+00		
	907200	0.00E+00	0.00E+00	0.00E+00		
	972000	0.00E+00	0.00E+00	0.00E+00		
	1036800	0.00E+00	0.00E+00	0.00E+00		
	1101600	0.00E+00	0.00E+00	0.00E+00		
	1166400	0.00E+00	0.00E+00	0.00E+00		
	1231200	0.00E+00	0.00E+00	0.00E+00		
	1296000	0.00E+00	0.00E+00	0.00E+00		
	1360800	0.00E+00	0.00E+00	0.00E+00		
	1425600	0.00E+00	0.00E+00	0.00E+00		
	1490400	0.00E+00	0.00E+00	0.00E+00		
	1555200	0.00E+00	0.00E+00	0.00E+00		
	1620000	0.00E+00	0.00E+00	0.00E+00		
	1684800	0.00E+00	0.00E+00	0.00E+00		
	1749600	0.00E+00	0.00E+00	0.00E+00		
	1814400	0.00E+00	0.00E+00	0.00E+00		
	1879200	0.00E+00	0.00E+00	0.00E+00		
	1944000	0.00E+00	0.00E+00	0.00E+00		
	2008800	0.00E+00	0.00E+00	0.00E+00		
	2073600	0.00E+00	0.00E+00	0.00E+00		
	2138400	0.00E+00	0.00E+00	0.00E+00		
	2203200	0.00E+00	0.00E+00	0.00E+00		
	2268000	0.00E+00	0.00E+00	0.00E+00		
	2332800	0.00E+00	0.00E+00	0.00E+00		
	2397600	0.00E+00	0.00E+00	0.00E+00		
	2462400	0.00E+00	0.00E+00	0.00E+00		
	2527200	0.00E+00	0.00E+00	0.00E+00		
	2592000	0.00E+00	0.00E+00	0.00E+00		
	2656800	0.00E+00	0.00E+00	0.00E+00		
	2721600	0.00E+00	0.00E+00	0.00E+00		
	2786400	0.00E+00	0.00E+00	0.00E+00		
	2851200	0.00E+00	0.00E+00	0.00E+00		
	2916000	0.00E+00	0.00E+00	0.00E+00		
	2980800	0.00E+00	0.00E+00	0.00E+00		
	3045600	0.00E+00	0.00E+00	0.00E+00		
	3110400	0.00E+00	0.00E+00	0.00E+00		
	3175200	0.00E+00	0.00E+00	0.00E+00		
	3240000	0.00E+00	0.00E+00	0.00E+00		
	3304800	3.52E-03	2.58E-03	0.00E+00		
	3369600	6.36E-03	4.60E-03	0.00E+00		
	3434400	1.07E-02	7.72E-03	0.00E+00		
	3499200	1.74E-02	1.24E-02	0.00E+00		
	3564000	2.70E-02	1.92E-02	0.00E+00		
	3628800	4.04E-02	2.86E-02	0.00E+00		
	3693600	5.84E-02	4.11E-02	0.00E+00		
	3758400	8.17E-02	5.71E-02	0.00E+00		
	3823200	1.11E-01	7.71E-02	0.00E+00		
	3888000	1.46E-01	1.01E-01	0.00E+00		
	3952800	1.87E-01	1.29E-01	0.00E+00		
	4017600	2.34E-01	1.60E-01	0.00E+00		
	4082400	2.86E-01	1.95E-01	0.00E+00		
	4147200	3.42E-01	2.32E-01	0.00E+00		
	4212000	4.00E-01	2.71E-01	0.00E+00		
	4276800	4.60E-01	3.10E-01	0.00E+00		
	4341600	5.20E-01	3.49E-01	0.00E+00		
	4406400	5.78E-01	3.87E-01	0.00E+00		
	4471200	6.35E-01	4.23E-01	0.00E+00		
	4536000	6.87E-01	4.57E-01	0.00E+00		
	4600800	7.36E-01	4.87E-01	0.00E+00		
	4665600	7.79E-01	5.15E-01	0.00E+00		
	4730400	8.18E-01	5.39E-01	0.00E+00		
	4795200	8.52E-01	5.60E-01	0.00E+00		
	4860000	8.81E-01	5.78E-01	0.00E+00		
	4924800	9.05E-01	5.93E-01	0.00E+00		
	4989600	9.25E-01	6.05E-01	0.00E+00		
	5054400	9.42E-01	6.16E-01	0.00E+00		
	5119200	9.55E-01	6.24E-01	0.00E+00		
	5184000	9.66E-01	6.30E-01	0.00E+00		
	5248800	9.74E-01	6.35E-01	0.00E+00		
	5313600	9.81E-01	6.39E-01	0.00E+00		
	5378400	9.86E-01	6.42E-01	0.00E+00		
	5443200	9.90E-01	6.44E-01	0.00E+00		
	5508000	9.93E-01	6.46E-01	0.00E+00		
	5572800	9.95E-01	6.47E-01	0.00E+00		
	5637600	9.96E-01	6.48E-01	0.00E+00		
	5702400	9.98E-01	6.50E-01	0.00E+00		
	5767200	1.00E+00	6.50E-01	0.00E+00		
	5832000	1.00E+00	6.50E-01	0.00E+00		
	5896800	1.00E+00	6.50E-01	0.00E+00		
	5961600	1.00E+00	6.50E-01	0.00E+00		
	6026400	1.00E+00	6.50E-01	0.00E+00		
	6091200	1.00E+00	6.50E-01	0.00E+00		
	6156000	1.00E+00	6.50E-01	0.00E+00		
	6220800	1.00E+00	6.50E-01	0.00E+00		
	6285600	1.00E+00	6.50E-01	0.00E+00		
	6350400	1.00E+00	6.50E-01	0.00E+00		
	6415200	1.00E+00	6.50E-01	0.00E+00		
	6480000	1.00E+00	6.50E-01	0.00E+00		
