x,	conservative	deacy	retard
0	1.00E+00	1.00E+00	1.00E+00
1	1.00E+00	9.91E-01	1.00E+00
2	1.00E+00	9.83E-01	1.00E+00
3	1.00E+00	9.74E-01	1.00E+00
4	1.00E+00	9.66E-01	1.00E+00
5	1.00E+00	9.58E-01	1.00E+00
6	1.00E+00	9.50E-01	1.00E+00
7	1.00E+00	9.41E-01	1.00E+00
8	1.00E+00	9.33E-01	1.00E+00
9	1.00E+00	9.25E-01	1.00E+00
10	1.00E+00	9.17E-01	1.00E+00
11	1.00E+00	9.10E-01	1.00E+00
12	1.00E+00	9.02E-01	1.00E+00
13	1.00E+00	8.94E-01	1.00E+00
14	1.00E+00	8.86E-01	1.00E+00
15	1.00E+00	8.79E-01	1.00E+00
16	1.00E+00	8.71E-01	9.95E-01
17	1.00E+00	8.64E-01	9.88E-01
18	1.00E+00	8.56E-01	9.76E-01
19	1.00E+00	8.49E-01	9.55E-01
20	1.00E+00	8.42E-01	9.21E-01
21	1.00E+00	8.34E-01	8.71E-01
22	1.00E+00	8.27E-01	8.02E-01
23	1.00E+00	8.20E-01	7.14E-01
24	1.00E+00	8.13E-01	6.11E-01
25	1.00E+00	8.06E-01	5.00E-01
26	1.00E+00	7.99E-01	3.89E-01
27	1.00E+00	7.92E-01	2.86E-01
28	1.00E+00	7.86E-01	1.98E-01
29	1.00E+00	7.79E-01	1.29E-01
30	1.00E+00	7.72E-01	7.86E-02
31	1.00E+00	7.65E-01	4.48E-02
32	1.00E+00	7.59E-01	2.39E-02
33	1.00E+00	7.52E-01	1.18E-02
34	1.00E+00	7.46E-01	5.43E-03
35	1.00E+00	7.40E-01	0.00E+00
36	1.00E+00	7.33E-01	0.00E+00
37	1.00E+00	7.27E-01	0.00E+00
38	1.00E+00	7.21E-01	0.00E+00
39	1.00E+00	7.14E-01	0.00E+00
40	1.00E+00	7.08E-01	0.00E+00
41	1.00E+00	7.02E-01	0.00E+00
42	1.00E+00	6.96E-01	0.00E+00
43	1.00E+00	6.90E-01	0.00E+00
44	1.00E+00	6.84E-01	0.00E+00
45	1.00E+00	6.78E-01	0.00E+00
46	1.00E+00	6.73E-01	0.00E+00
47	1.00E+00	6.67E-01	0.00E+00
48	1.00E+00	6.61E-01	0.00E+00
49	1.00E+00	6.55E-01	0.00E+00
50	1.00E+00	6.50E-01	0.00E+00
51	1.00E+00	6.44E-01	0.00E+00
52	1.00E+00	6.39E-01	0.00E+00
53	1.00E+00	6.33E-01	0.00E+00
54	1.00E+00	6.28E-01	0.00E+00
55	1.00E+00	6.22E-01	0.00E+00
56	1.00E+00	6.17E-01	0.00E+00
57	1.00E+00	6.12E-01	0.00E+00
58	9.97E-01	6.07E-01	0.00E+00
59	9.96E-01	5.99E-01	0.00E+00
60	9.93E-01	5.92E-01	0.00E+00
61	9.89E-01	5.85E-01	0.00E+00
62	9.83E-01	5.77E-01	0.00E+00
63	9.75E-01	5.68E-01	0.00E+00
64	9.64E-01	5.57E-01	0.00E+00
65	9.49E-01	5.45E-01	0.00E+00
66	9.29E-01	5.30E-01	0.00E+00
67	9.04E-01	5.12E-01	0.00E+00
68	8.74E-01	4.92E-01	0.00E+00
69	8.36E-01	4.68E-01	0.00E+00
70	7.93E-01	4.42E-01	0.00E+00
71	7.43E-01	4.12E-01	0.00E+00
72	6.88E-01	3.80E-01	0.00E+00
73	6.28E-01	3.45E-01	0.00E+00
74	5.65E-01	3.09E-01	0.00E+00
75	5.00E-01	2.73E-01	0.00E+00
76	4.35E-01	2.37E-01	0.00E+00
77	3.72E-01	2.02E-01	0.00E+00
78	3.12E-01	1.69E-01	0.00E+00
79	2.57E-01	1.39E-01	0.00E+00
80	2.07E-01	1.12E-01	0.00E+00
81	1.64E-01	8.80E-02	0.00E+00
82	1.26E-01	6.80E-02	0.00E+00
83	9.57E-02	5.13E-02	0.00E+00
84	7.08E-02	3.79E-02	0.00E+00
85	5.12E-02	2.74E-02	0.00E+00
86	3.62E-02	1.94E-02	0.00E+00
87	2.50E-02	1.34E-02	0.00E+00
88	1.69E-02	9.00E-03	0.00E+00
89	1.11E-02	5.92E-03	0.00E+00
90	7.15E-03	3.81E-03	0.00E+00
91	4.45E-03	2.38E-03	0.00E+00
92	2.53E-03	1.40E-03	0.00E+00
93	0.00E+00	0.00E+00	0.00E+00
94	0.00E+00	0.00E+00	0.00E+00
95	0.00E+00	0.00E+00	0.00E+00
96	0.00E+00	0.00E+00	0.00E+00
97	0.00E+00	0.00E+00	0.00E+00
98	0.00E+00	0.00E+00	0.00E+00
99	0.00E+00	0.00E+00	0.00E+00
100	0.00E+00	0.00E+00	0.00E+00
