Y       C_60_m		C_80_m
0	0.000149858	0.000323181
1	0.000186322	0.000377275
2	0.000308966	0.000551838
3	0.000560467	0.000884917
4	0.001021693	0.001443762
5	0.001826336	0.002329955
6	0.003180946	0.003685274
7	0.005388895	0.005696838
8	0.008875098	0.008599599
9	0.01420604	0.01267388
10	0.02209723	0.01823554
11	0.03339849	0.02561664
12	0.04904713	0.03513556
13	0.06998179	0.04705689
14	0.09701534	0.0615437
15	0.1306743	0.07860701
16	0.171023	0.09805951
17	0.2175019	0.1194819
18	0.2688134	0.1422101
19	0.3228925	0.1653505
20	0.3769867	0.1878258
21	0.4278546	0.2084512
22	0.4720698	0.2260346
23	0.5063939	0.2394881
24	0.5281623	0.2479386
25	0.5356223	0.2508207
26	0.5281623	0.2479386
27	0.5063939	0.2394881
28	0.4720698	0.2260346
29	0.4278546	0.2084512
30	0.3769867	0.1878258
31	0.3228925	0.1653505
32	0.2688134	0.1422101
33	0.2175019	0.1194819
34	0.171023	0.09805951
35	0.1306743	0.07860701
36	0.09701534	0.0615437
37	0.06998179	0.04705689
38	0.04904713	0.03513556
39	0.03339849	0.02561664
40	0.02209723	0.01823554
41	0.01420604	0.01267388
42	0.008875098	0.008599599
43	0.005388895	0.005696838
44	0.003180946	0.003685274
45	0.001826336	0.002329955
46	0.001021693	0.001443762
47	0.000560467	0.000884917
48	0.000308966	0.000551838
49	0.000186322	0.000377275
50	0.000149858	0.000323181
