                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.945476323780e+00	  1.203786621313e-07	 -3.617389227057e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.988944626983e-11	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.945476484960e+00	  1.203786174549e-07	 -3.616792430182e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.450469878893e-09	  7.450714160827e-09	  9.999959589098e-04	  1.999991911339e-03	  6.961198840319e+00	  1.160986073345e-07	 -3.336502592934e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.450436067267e-09	  7.450714160827e-09	  9.999959589098e-04	  1.999991911339e-03	  6.961198889691e+00	  1.160985941360e-07	 -3.335719289610e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.135874018524e-08	  2.135824728304e-08	  9.999883390765e-04	  1.999976657829e-03	  6.990489406552e+00	  1.085266688855e-07	 -3.367888832125e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.135864706538e-08	  2.135824728304e-08	  9.999883390765e-04	  1.999976657829e-03	  6.990489542453e+00	  1.085266349251e-07	 -3.365826990795e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.585702412733e-08	  4.585229119233e-08	  9.999749939942e-04	  1.999949938473e-03	  7.040435003698e+00	  9.673662522491e-08	 -3.422204646009e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.585683430616e-08	  4.585229119233e-08	  9.999749939942e-04	  1.999949938473e-03	  7.040435277687e+00	  9.673656419533e-08	 -3.418154474337e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.698279761942e-08	  8.696384209681e-08	  9.999527688227e-04	  1.999905427144e-03	  7.118946364869e+00	  8.073831457933e-08	 -3.506897402387e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.698246873180e-08	  8.696384209681e-08	  9.999527688227e-04	  1.999905427144e-03	  7.118946820364e+00	  8.073822989962e-08	 -3.500115202518e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.536256730098e-07	  1.535678852898e-07	  9.999171261338e-04	  1.999834015392e-03	  7.231291351360e+00	  6.233542047961e-08	 -3.625772537668e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.536251819152e-07	  1.535678852898e-07	  9.999171261337e-04	  1.999834015392e-03	  7.231291964467e+00	  6.233533247878e-08	 -3.615679721655e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.586903993833e-07	  2.585380886500e-07	  9.998616702040e-04	  1.999722844221e-03	  7.375199379016e+00	  4.475352232115e-08	 -3.774481382664e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.586897629708e-07	  2.585380886500e-07	  9.998616702039e-04	  1.999722844221e-03	  7.375200033817e+00	  4.475345484463e-08	 -3.761687590579e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.206874118239e-07	  4.203219978548e-07	  9.997775563033e-04	  1.999554091669e-03	  7.540523806984e+00	  3.058464153201e-08	 -3.942287621780e+00	  0.000000000000e+00	  0.000000000000e+00	
