                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	               CO3-2	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.945476323779e+00	  1.203786621315e-07	  4.000000000000e+00	  3.961100933611e-14	
  7.530595029590e-09	  7.526510498323e-09	  9.999959596812e-04	  1.999991911191e-03	  6.961356716261e+00	  1.160564106939e-07	  4.000000000000e+00	  3.115437226512e-12	
  2.159462259977e-08	  2.158184720522e-08	  9.999883414788e-04	  1.999976657402e-03	  6.990946062425e+00	  1.084126147616e-07	  4.000000000000e+00	  9.682053342447e-12	
  4.637956758699e-08	  4.634860220572e-08	  9.999749997467e-04	  1.999949937556e-03	  7.041406177416e+00	  9.652054451100e-08	  4.000000000000e+00	  2.381481868907e-11	
  8.801403630332e-08	  8.794548694599e-08	  9.999527812562e-04	  1.999905425405e-03	  7.120707266163e+00	  8.041161548444e-08	  4.000000000000e+00	  5.572546204582e-11	
  1.555367056934e-07	  1.553911857924e-07	  9.999171516884e-04	  1.999834012326e-03	  7.234079590981e+00	  6.193650166644e-08	  4.000000000000e+00	  1.319632922103e-10	
  2.620951960397e-07	  2.617927853258e-07	  9.998617219522e-04	  1.999722839070e-03	  7.379076160769e+00	  4.435580579000e-08	  4.000000000000e+00	  3.202332039364e-10	
  4.265953883893e-07	  4.259745833331e-07	  9.997776624707e-04	  1.999554083316e-03	  7.545375190517e+00	  3.024489418576e-08	  4.000000000000e+00	  7.837386131353e-10	
  6.759650011234e-07	  6.747049419424e-07	  9.996529969608e-04	  1.999303473785e-03	  7.721216547647e+00	  2.017491540997e-08	  4.000000000000e+00	  1.894443090176e-09	
  1.048256719232e-06	  1.045739652247e-06	  9.994717719205e-04	  1.998938509687e-03	  7.898561559676e+00	  1.341122026427e-08	  4.000000000000e+00	  4.466586892333e-09	
  1.596926873458e-06	  1.592003674910e-06	  9.992131118510e-04	  1.998416377283e-03	  8.073342872357e+00	  8.967872551470e-09	  4.000000000000e+00	  1.022856457904e-08	
  2.396798752398e-06	  2.387367278212e-06	  9.988502185309e-04	  1.997681574090e-03	  8.243870008740e+00	  6.055723307443e-09	  4.000000000000e+00	  2.275081910928e-08	
  3.552653476944e-06	  3.534787028157e-06	  9.983495044677e-04	  1.996663276011e-03	  8.409595252844e+00	  4.134723198680e-09	  4.000000000000e+00	  4.922794029950e-08	
  5.211421850356e-06	  5.177334538647e-06	  9.976703440495e-04	  1.995272513446e-03	  8.570432494972e+00	  2.855076509405e-09	  4.000000000000e+00	  1.038119632649e-07	
  7.576152377404e-06	  7.512567053416e-06	  9.967632144815e-04	  1.993399258283e-03	  8.726242154303e+00	  1.994439833178e-09	  4.000000000000e+00	  2.134806402825e-07	
  1.088194931245e-05	  1.079335731849e-05	  9.955433736006e-04	  1.990909563178e-03	  8.875150367446e+00	  1.415570324000e-09	  4.000000000000e+00	  4.247101378565e-07	
  1.550838366257e-05	  1.540020108077e-05	  9.939296501541e-04	  1.987642935105e-03	  9.018339995419e+00	  1.018050434992e-09	  4.000000000000e+00	  8.222648019432e-07	
  2.194715393441e-05	  2.182629367959e-05	  9.918259420575e-04	  1.983410163562e-03	  9.155587256077e+00	  7.422702395199e-10	  4.000000000000e+00	  1.548014066996e-06	
  3.078501127099e-05	  3.066037118789e-05	  9.891205680971e-04	  1.977991855980e-03	  9.285711681343e+00	  5.501671502824e-10	  4.000000000000e+00	  2.818912584359e-06	
  4.289315932558e-05	  4.277626828093e-05	  9.856858681639e-04	  1.971137954185e-03	  9.409210116362e+00	  4.140732951720e-10	  4.000000000000e+00	  4.976959362242e-06	
  5.935563879046e-05	  5.926124947278e-05	  9.813786450473e-04	  1.962568511400e-03	  9.525813924117e+00	  3.166553658224e-10	  4.000000000000e+00	  8.509483761297e-06	
  7.430286804923e-05	  7.424819219142e-05	  9.760426733244e-04	  1.951975994867e-03	  9.603924225124e+00	  2.645829452735e-10	  4.000000000000e+00	  1.217949056961e-05	
  8.731450683936e-05	  8.731824117823e-05	  9.695109362215e-04	  1.939029341046e-03	  9.658879279942e+00	  2.331623981195e-10	  4.000000000000e+00	  1.566178036631e-05	
  9.838218423863e-05	  9.846303163906e-05	  9.616091158319e-04	  1.923379926381e-03	  9.699056710049e+00	  2.125678999501e-10	  4.000000000000e+00	  1.880575606472e-05	
  1.077007694399e-04	  1.078759182601e-04	  9.521596145628e-04	  1.904669526672e-03	  9.729441704403e+00	  1.981957465104e-10	  4.000000000000e+00	  2.157420418324e-05	
  1.154682221464e-04	  1.157520045934e-04	  9.409863298560e-04	  1.882540224501e-03	  9.752980412232e+00	  1.877164217797e-10	  4.000000000000e+00	  2.396880592958e-05	
  1.218523107378e-04	  1.222552196865e-04	  9.279201370407e-04	  1.856646091862e-03	  9.771497946042e+00	  1.798439718372e-10	  4.000000000000e+00	  2.600485027742e-05	
  1.270179329072e-04	  1.275460846551e-04	  9.128050142978e-04	  1.826666331961e-03	  9.786248761566e+00	  1.737881341681e-10	  4.000000000000e+00	  2.771057022774e-05	
  1.311311086017e-04	  1.317860999337e-04	  8.955047187842e-04	  1.792319420086e-03	  9.798155500812e+00	  1.690253068618e-10	  4.000000000000e+00	  2.912349791948e-05	
  1.343455819848e-04	  1.351246363891e-04	  8.759097708653e-04	  1.753377650375e-03	  9.807904150735e+00	  1.651977410874e-10	  4.000000000000e+00	  3.028312240249e-05	
  1.367978415374e-04	  1.376941654708e-04	  8.539443690852e-04	  1.709681385853e-03	  9.816011093660e+00	  1.620541743498e-10	  4.000000000000e+00	  3.122713619220e-05	
  1.386066375674e-04	  1.396099186309e-04	  8.295728368024e-04	  1.661152235526e-03	  9.822870285981e+00	  1.594136761249e-10	  4.000000000000e+00	  3.198982892636e-05	
  1.398740844533e-04	  1.409710748239e-04	  8.028051873345e-04	  1.607804355181e-03	  9.828785360595e+00	  1.571433987602e-10	  4.000000000000e+00	  3.260148458149e-05	
  1.406872775609e-04	  1.418624191206e-04	  7.737014063332e-04	  1.549753095531e-03	  9.833991497727e+00	  1.551445735448e-10	  4.000000000000e+00	  3.308827168884e-05	
