                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944049928787e+00	  1.202243356323e-07	 -6.545938224693e+00	  0.000000000000e+00	  3.929057007199e-14	  7.992961209300e-11	  7.537824362138e-11	
  3.235243505114e-31	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944195791265e+00	  1.201839637206e-07	 -6.546083319232e+00	  0.000000000000e+00	  1.271654615409e-34	  2.586084344859e-31	  2.438826997486e-31	
  7.124819761578e-09	  4.453185633683e-09	  9.999987259363e-04	  1.999991911190e-03	  6.959449162038e+00	  1.160361104952e-07	 -3.324523353484e+00	  0.000000000000e+00	  2.919956139239e-12	  5.733191324841e-09	  5.406730616296e-09	
  7.124792809139e-09	  4.453185633684e-09	  9.999987259363e-04	  1.999991911190e-03	  6.959449201414e+00	  1.160360999745e-07	 -3.323853735465e+00	  0.000000000000e+00	  2.919945407481e-12	  5.733169733751e-09	  5.406710254652e-09	
  2.082430352169e-08	  1.279756516435e-08	  9.999964548309e-04	  1.999976657416e-03	  6.988347149007e+00	  1.085663404981e-07	  1.111588229501e+01	  0.000000000000e+00	  9.232440655931e-12	  1.696049671379e-08	  1.599472722531e-08	
  2.082430352169e-08	  1.279756516435e-08	  9.999964548309e-04	  1.999976657416e-03	  6.988347149006e+00	  1.085663404983e-07	  1.112033255435e+01	  0.000000000000e+00	  9.232440655911e-12	  1.696049671378e-08	  1.599472722531e-08	
  4.558672620976e-08	  2.780215999239e-08	  9.999928540694e-04	  1.999949937595e-03	  7.038910399199e+00	  9.663445441493e-08	  1.109469022943e+01	  0.000000000000e+00	  2.315549438020e-11	  3.786279597257e-08	  3.570679711680e-08	
  4.558672620976e-08	  2.780215999239e-08	  9.999928540694e-04	  1.999949937595e-03	  7.038910399199e+00	  9.663445441497e-08	  1.107969964882e+01	  0.000000000000e+00	  2.315549438018e-11	  3.786279597257e-08	  3.570679711680e-08	
  8.858817302226e-08	  5.368462622412e-08	  9.999877192178e-04	  1.999905425486e-03	  7.120932762533e+00	  8.000363919784e-08	 -3.499769215969e+00	  0.000000000000e+00	  5.589015830329e-11	  7.566085420441e-08	  7.135252311900e-08	
  8.858788766796e-08	  5.368462622412e-08	  9.999877192178e-04	  1.999905425486e-03	  7.120933157017e+00	  8.000356652784e-08	 -3.493557973040e+00	  0.000000000000e+00	  5.589003594352e-11	  7.566061983605e-08	  7.135230209630e-08	
  1.612001434409e-07	  9.704299603719e-08	  9.999812693452e-04	  1.999834012476e-03	  7.242036136292e+00	  6.053500596373e-08	 -3.627574469628e+00	  0.000000000000e+00	  1.389977920313e-10	  1.423769501278e-07	  1.342695498503e-07	
  1.611997084004e-07	  9.704299603719e-08	  9.999812693452e-04	  1.999834012476e-03	  7.242036672224e+00	  6.053493126180e-08	 -3.618372142485e+00	  0.000000000000e+00	  1.389976065857e-10	  1.423765844778e-07	  1.342692050219e-07	
  2.813091108848e-07	  1.681180385910e-07	  9.999747201248e-04	  1.999722839327e-03	  7.400890708670e+00	  4.199063578661e-08	 -3.791529314758e+00	  0.000000000000e+00	  3.613346013506e-10	  2.567351339209e-07	  2.421155409083e-07	
  2.813085418336e-07	  1.681180385910e-07	  9.999747201248e-04	  1.999722839327e-03	  7.400891270260e+00	  4.199058148815e-08	 -3.779657215072e+00	  0.000000000000e+00	  3.613343726000e-10	  2.567346394051e-07	  2.421150745529e-07	
  4.768676000915e-07	  2.826998969714e-07	  9.999713224078e-04	  1.999554083736e-03	  7.585890492417e+00	  2.742543162549e-08	 -3.979108999641e+00	  0.000000000000e+00	  9.624335891607e-10	  4.466260337466e-07	  4.211923681531e-07	
  4.768669428714e-07	  2.826998969714e-07	  9.999713224078e-04	  1.999554083736e-03	  7.585890960831e+00	  2.742540204539e-08	 -3.965546563485e+00	  0.000000000000e+00	  9.624333508791e-10	  4.466254414591e-07	  4.211918095951e-07	
  7.912999042186e-07	  4.649949948723e-07	  9.999781580037e-04	  1.999303474450e-03	  7.783325328620e+00	  1.740684514780e-08	 -4.177263471080e+00	  0.000000000000e+00	  2.559647145160e-09	  7.538999478500e-07	  7.109655665458e-07	
  7.912992021809e-07	  4.649949948722e-07	  9.999781580037e-04	  1.999303474450e-03	  7.783325666008e+00	  1.740683162501e-08	 -4.162822263687e+00	  0.000000000000e+00	  2.559646918569e-09	  7.538992954397e-07	  7.109649512919e-07	
  1.291819094120e-06	  7.519865763361e-07	  1.000009206107e-03	  1.998938510710e-03	  7.984097704265e+00	  1.096352379616e-08	 -4.363165252388e+00	  0.000000000000e+00	  6.696756786774e-09	  1.242274129612e-06	  1.171519498403e-06	
  1.291818521561e-06	  7.519865763361e-07	  1.000009206107e-03	  1.998938510710e-03	  7.984097883659e+00	  1.096351926744e-08	 -4.350508131192e+00	  0.000000000000e+00	  6.696756620385e-09	  1.242273585608e-06	  1.171518985387e-06	
  2.082626985991e-06	  1.200278405361e-06	  1.000090657574e-03	  1.998416378823e-03	  8.183852028724e+00	  6.921497088620e-09	 -4.576771588288e+00	  0.000000000000e+00	  1.715240602894e-08	  2.008674201990e-06	  1.894248140603e-06	
  2.082626263639e-06	  1.200278405361e-06	  1.000090657574e-03	  1.998416378823e-03	  8.183852174454e+00	  6.921494766059e-09	 -4.561765717705e+00	  0.000000000000e+00	  1.715240583641e-08	  2.008673505439e-06	  1.894247483737e-06	
  3.325885576090e-06	  1.896869590903e-06	  1.000269924088e-03	  1.997681576364e-03	  8.380853168100e+00	  4.397501086026e-09	 -4.670155838169e+00	  0.000000000000e+00	  4.300105498174e-08	  3.199180085772e-06	  3.016880745876e-06	
  3.325885444177e-06	  1.896869590903e-06	  1.000269924088e-03	  1.997681576364e-03	  8.380853185204e+00	  4.397500912835e-09	 -4.665981243249e+00	  0.000000000000e+00	  4.300105494905e-08	  3.199179957350e-06	  3.016880624773e-06	
  5.271979741157e-06	  2.974621477740e-06	  1.000629117694e-03	  1.996663279313e-03	  8.574176580651e+00	  2.817696809819e-09	 -4.702634958558e+00	  0.000000000000e+00	  1.054871777317e-07	  5.028013185176e-06	  4.741357693069e-06	
  5.271979733773e-06	  2.974621477740e-06	  1.000629117694e-03	  1.996663279313e-03	  8.574176581268e+00	  2.817696805811e-09	 -4.702256122754e+00	  0.000000000000e+00	  1.054871777299e-07	  5.028013177943e-06	  4.741357686249e-06	
  8.295746705458e-06	  4.630753503001e-06	  1.001301371779e-03	  1.995272518168e-03	  8.762516879085e+00	  1.826304248196e-09	 -5.143534256270e+00	  0.000000000000e+00	  2.522227145849e-07	  7.790693655305e-06	  7.346169390355e-06	
  8.295746093955e-06	  4.630753503000e-06	  1.001301371779e-03	  1.995272518168e-03	  8.762516912384e+00	  1.826304108164e-09	 -5.130138980779e+00	  0.000000000000e+00	  2.522227144554e-07	  7.790693054025e-06	  7.346168823401e-06	
  1.293998421823e-05	  7.149021249658e-06	  1.002490714161e-03	  1.993399264938e-03	  8.944052308181e+00	  1.202453853722e-09	  9.038647567220e+00	  0.000000000000e+00	  5.835807391973e-07	  1.186462628848e-05	  1.118676232552e-05	
  1.293998421823e-05	  7.149021249658e-06	  1.002490714161e-03	  1.993399264938e-03	  8.944052308181e+00	  1.202453853722e-09	  9.010042370279e+00	  0.000000000000e+00	  5.835807391973e-07	  1.186462628848e-05	  1.118676232552e-05	
  2.002714242853e-05	  1.095602341789e-05	  1.004526022554e-03	  1.990909572439e-03	  9.117969697724e+00	  8.057486838944e-10	 -5.213976125217e+00	  0.000000000000e+00	  1.302691631732e-06	  1.773837464025e-05	  1.672282568369e-05	
  2.002714242445e-05	  1.095602341789e-05	  1.004526022554e-03	  1.990909572439e-03	  9.117969697822e+00	  8.057486837115e-10	 -5.213457860506e+00	  0.000000000000e+00	  1.302691631731e-06	  1.773837463622e-05	  1.672282567989e-05	
  3.109368418234e-05	  1.683886920693e-05	  1.008076404793e-03	  1.987642947836e-03	  9.287271751809e+00	  5.457277752275e-10	 -4.892498038026e+00	  0.000000000000e+00	  2.846096448402e-06	  2.622740915544e-05	  2.472083344300e-05	
  3.109368418234e-05	  1.683886920693e-05	  1.008076404793e-03	  1.987642947836e-03	  9.287271751809e+00	  5.457277752275e-10	 -4.893012864583e+00	  0.000000000000e+00	  2.846096448402e-06	  2.622740915544e-05	  2.472083344300e-05	
  4.981412019676e-05	  2.665769493655e-05	  1.014861630146e-03	  1.983410180861e-03	  9.460568625855e+00	  3.662831764425e-10	 -5.100231168530e+00	  0.000000000000e+00	  6.335982830258e-06	  3.913439816443e-05	  3.687326809113e-05	
  4.981412019676e-05	  2.665769493655e-05	  1.014861630146e-03	  1.983410180861e-03	  9.460568625855e+00	  3.662831764425e-10	 -5.099196606787e+00	  0.000000000000e+00	  6.335982830258e-06	  3.913439816443e-05	  3.687326809113e-05	
  8.087189728649e-05	  4.278160369070e-05	  1.027086346208e-03	  1.977991879231e-03	  9.628683958305e+00	  2.488476624471e-10	  8.598347047718e+00	  0.000000000000e+00	  1.378507527542e-05	  5.771070205696e-05	  5.434362725049e-05	
  8.087189728649e-05	  4.278160369070e-05	  1.027086346208e-03	  1.977991879231e-03	  9.628683958305e+00	  2.488476624471e-10	  8.594351004938e+00	  0.000000000000e+00	  1.378507527542e-05	  5.771070205696e-05	  5.434362725049e-05	
  9.359408358742e-05	  4.990647833756e-05	  1.029256709324e-03	  1.971137985112e-03	  9.677517376148e+00	  2.224183975575e-10	 -5.123519840167e+00	  0.000000000000e+00	  1.726809503110e-05	  6.456841172205e-05	  6.079011906454e-05	
  9.359408358742e-05	  4.990647833756e-05	  1.029256709324e-03	  1.971137985112e-03	  9.677517376148e+00	  2.224183975575e-10	 -5.124015102479e+00	  0.000000000000e+00	  1.726809503110e-05	  6.456841172205e-05	  6.079011906454e-05	
  9.870551160128e-05	  5.343247601631e-05	  1.026557421662e-03	  1.962568552130e-03	  9.695393288397e+00	  2.134491702383e-10	 -5.331681078832e+00	  0.000000000000e+00	  1.873410743421e-05	  6.722547238689e-05	  6.329175204763e-05	
  9.870551160128e-05	  5.343247601631e-05	  1.026557421662e-03	  1.962568552130e-03	  9.695393288397e+00	  2.134491702383e-10	 -5.332958335222e+00	  0.000000000000e+00	  1.873410743421e-05	  6.722547238689e-05	  6.329175204763e-05	
  1.005303048476e-04	  5.556514326451e-05	  1.020953294047e-03	  1.951976048001e-03	  9.701972586895e+00	  2.102219682863e-10	  8.701246433388e+00	  0.000000000000e+00	  1.927998798100e-05	  6.816374524268e-05	  6.418128519629e-05	
  1.005303048476e-04	  5.556514326451e-05	  1.020953294047e-03	  1.951976048001e-03	  9.701972586895e+00	  2.102219682863e-10	  8.701996787411e+00	  0.000000000000e+00	  1.927998798100e-05	  6.816374524268e-05	  6.418128519629e-05	
  1.008921730117e-04	  5.726582100764e-05	  1.013141163733e-03	  1.939029409733e-03	  9.703907998188e+00	  2.092579454289e-10	 -5.415817887938e+00	  0.000000000000e+00	  1.941061010119e-05	  6.835265334577e-05	  6.436927955693e-05	
  1.008921730117e-04	  5.726582100764e-05	  1.013141163733e-03	  1.939029409733e-03	  9.703907998188e+00	  2.092579454289e-10	 -5.416224353108e+00	  0.000000000000e+00	  1.941061010120e-05	  6.835265334577e-05	  6.436927955693e-05	
