                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944049704073e+00	  1.202243978392e-07	 -6.378314364417e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.094214055975e-30	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944195566492e+00	  1.201840259229e-07	 -6.378458565084e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.386540715299e-09	  4.512694443955e-09	  9.999989283533e-04	  1.999991911305e-03	  6.960007309789e+00	  1.158870791978e-07	 -3.325213036102e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.386512739488e-09	  4.512694443955e-09	  9.999989283533e-04	  1.999991911305e-03	  6.960007350662e+00	  1.158870682912e-07	 -3.324533431892e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.159112127873e-08	  1.297481099585e-08	  9.999970448705e-04	  1.999976657753e-03	  6.989947181988e+00	  1.081670964132e-07	 -3.357835505958e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.159104199590e-08	  1.297481099585e-08	  9.999970448705e-04	  1.999976657753e-03	  6.989947297747e+00	  1.081670675817e-07	 -3.355884241990e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.727189748202e-08	  2.820177133843e-08	  9.999941403264e-04	  1.999949938335e-03	  7.042267589099e+00	  9.589033196399e-08	  1.115459909145e+01	  0.000000000000e+00	  0.000000000000e+00	
  4.727189748202e-08	  2.820177133843e-08	  9.999941403264e-04	  1.999949938335e-03	  7.042267589100e+00	  9.589033196374e-08	  1.114847094279e+01	  0.000000000000e+00	  0.000000000000e+00	
  9.188085047580e-08	  5.449213513637e-08	  9.999902051829e-04	  1.999905426933e-03	  7.126894679815e+00	  7.891287235282e-08	 -3.506261825422e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.188055692360e-08	  5.449213513637e-08	  9.999902051829e-04	  1.999905426933e-03	  7.126895083875e+00	  7.891279893360e-08	 -3.499720979315e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.672307941919e-07	  9.858184972643e-08	  9.999857618110e-04	  1.999834015126e-03	  7.251153447695e+00	  5.927742476653e-08	 -3.636955443341e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.672303509798e-07	  9.858184972643e-08	  9.999857618110e-04	  1.999834015126e-03	  7.251153987835e+00	  5.927735104211e-08	 -3.627526158890e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.919006954810e-07	  1.709404135657e-07	  9.999824901438e-04	  1.999722843986e-03	  7.412888501264e+00	  4.084649046781e-08	  1.050696682145e+01	  0.000000000000e+00	  0.000000000000e+00	
  2.919006954810e-07	  1.709404135657e-07	  9.999824901438e-04	  1.999722843986e-03	  7.412888501264e+00	  4.084649046779e-08	  1.044375006603e+01	  0.000000000000e+00	  0.000000000000e+00	
  4.949371055781e-07	  2.877405256750e-07	  9.999843532541e-04	  1.999554091701e-03	  7.599860000443e+00	  2.655731221853e-08	 -3.993061454097e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.949364463592e-07	  2.877405256750e-07	  9.999843532541e-04	  1.999554091701e-03	  7.599860457938e+00	  2.655728424240e-08	 -3.979325503552e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.215901818037e-07	  4.738748772322e-07	  9.999995731728e-04	  1.999303487790e-03	  7.798458654920e+00	  1.681074664890e-08	 -4.187346401746e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.215895320491e-07	  4.738748772321e-07	  9.999995731728e-04	  1.999303487790e-03	  7.798458957497e+00	  1.681073493665e-08	 -4.173553569206e+00	  0.000000000000e+00	  0.000000000000e+00	
