                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944049928787e+00	  1.202243356325e-07	 -6.545938224762e+00	  0.000000000000e+00	  3.929057007193e-14	
  3.235243501051e-31	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944195791265e+00	  1.201839637205e-07	 -6.546083319301e+00	  0.000000000000e+00	  1.271654613813e-34	
  7.154617264512e-09	  4.466986043222e-09	  9.999987419394e-04	  1.999991911190e-03	  6.959512680565e+00	  1.160191407232e-07	 -3.324698392249e+00	  0.000000000000e+00	  2.932676905356e-12	
  7.154590128861e-09	  4.466986043222e-09	  9.999987419394e-04	  1.999991911190e-03	  6.959512720209e+00	  1.160191301327e-07	 -3.324064485701e+00	  0.000000000000e+00	  2.932666100089e-12	
  2.091201909608e-08	  1.283824382072e-08	  9.999965018857e-04	  1.999976657416e-03	  6.988530220945e+00	  1.085205853915e-07	  1.107888710775e+01	  0.000000000000e+00	  9.275928643286e-12	
  2.091201909608e-08	  1.283824382072e-08	  9.999965018857e-04	  1.999976657416e-03	  6.988530220945e+00	  1.085205853915e-07	  1.105099177859e+01	  0.000000000000e+00	  9.275928643286e-12	
  4.578084749097e-08	  2.789237018919e-08	  9.999929580212e-04	  1.999949937595e-03	  7.039297709332e+00	  9.654831315271e-08	  1.114442675803e+01	  0.000000000000e+00	  2.327816708433e-11	
  4.578084749097e-08	  2.789237018919e-08	  9.999929580212e-04	  1.999949937595e-03	  7.039297709332e+00	  9.654831315281e-08	  1.113623646754e+01	  0.000000000000e+00	  2.327816708430e-11	
  8.897084312060e-08	  5.386293609545e-08	  9.999879236606e-04	  1.999905425486e-03	  7.121628237465e+00	  7.987562524215e-08	 -3.500510974054e+00	  0.000000000000e+00	  5.623378166937e-11	
  8.897055688632e-08	  5.386293609545e-08	  9.999879236606e-04	  1.999905425486e-03	  7.121628632967e+00	  7.987555250110e-08	 -3.494261732186e+00	  0.000000000000e+00	  5.623365892021e-11	
