                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944049512786e+00	  1.202244507927e-07	 -5.359901914078e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.991661792042e-22	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944195375152e+00	  1.201840788733e-07	 -5.359866809007e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.008155417510e-09	  2.995927582604e-09	  9.999960666298e-04	  1.999991911217e-03	  6.950651495847e+00	  1.184106591749e-07	 -3.321508048959e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.008142481279e-09	  2.995927582604e-09	  9.999960666298e-04	  1.999991911217e-03	  6.950651514734e+00	  1.184106540255e-07	 -3.321120083538e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.747369567858e-09	  8.512383303644e-09	  9.999886633296e-04	  1.999976657494e-03	  6.962906481894e+00	  1.151160227017e-07	 -3.333132231075e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.747333480080e-09	  8.512383303644e-09	  9.999886633296e-04	  1.999976657494e-03	  6.962906534625e+00	  1.151160087245e-07	 -3.332371408419e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.900388931247e-08	  1.833547329154e-08	  9.999757381929e-04	  1.999949937767e-03	  6.984549461173e+00	  1.095198234587e-07	 -3.356432103540e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.900381294393e-08	  1.833547329154e-08	  9.999757381929e-04	  1.999949937767e-03	  6.984549572728e+00	  1.095197953269e-07	 -3.354822234039e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.656948090370e-08	  3.507073916340e-08	  9.999543144740e-04	  1.999905425826e-03	  7.020773710771e+00	  1.007554131256e-07	 -3.395511424665e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.656934009937e-08	  3.507073916340e-08	  9.999543144740e-04	  1.999905425826e-03	  7.020773915237e+00	  1.007553656897e-07	 -3.392449364911e+00	  0.000000000000e+00	  0.000000000000e+00	
