                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944049928787e+00	  1.202243356324e-07	 -6.545938224747e+00	  0.000000000000e+00	  3.929057007194e-14	
  3.235243501865e-31	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944195791265e+00	  1.201839637205e-07	 -6.546083319287e+00	  0.000000000000e+00	  1.271654614134e-34	
  2.967345714704e-09	  2.975913541958e-09	  9.999960456488e-04	  1.999991911208e-03	  6.950563376485e+00	  1.184346873292e-07	 -3.321286754956e+00	  0.000000000000e+00	  1.186897367207e-12	
  2.967332967809e-09	  2.975913541958e-09	  9.999960456488e-04	  1.999991911208e-03	  6.950563395094e+00	  1.184346822543e-07	 -3.320964488542e+00	  0.000000000000e+00	  1.186892329130e-12	
  8.626629181398e-09	  8.453146703747e-09	  9.999886012692e-04	  1.999976657470e-03	  6.962647809404e+00	  1.151846077653e-07	 -3.333421569575e+00	  0.000000000000e+00	  3.566456075494e-12	
  8.626593250754e-09	  8.453146703747e-09	  9.999886012692e-04	  1.999976657470e-03	  6.962647861906e+00	  1.151845938405e-07	 -3.332604891257e+00	  0.000000000000e+00	  3.566441731991e-12	
  1.873320440060e-08	  1.820263909127e-08	  9.999755991878e-04	  1.999949937713e-03	  6.983978855599e+00	  1.096638120948e-07	  1.113912844078e+01	  0.000000000000e+00	  8.207573664050e-12	
  1.873320440060e-08	  1.820263909127e-08	  9.999755991878e-04	  1.999949937713e-03	  6.983978855599e+00	  1.096638120948e-07	  1.113197081921e+01	  0.000000000000e+00	  8.207573664048e-12	
  3.601597434251e-08	  3.479892997932e-08	  9.999540307038e-04	  1.999905425715e-03	  7.019642697856e+00	  1.010181467406e-07	 -3.394614563077e+00	  0.000000000000e+00	  1.737395219966e-11	
  3.601583472306e-08	  3.479892997932e-08	  9.999540307038e-04	  1.999905425715e-03	  7.019642900662e+00	  1.010180995673e-07	 -3.391569641367e+00	  0.000000000000e+00	  1.737389430968e-11	
  6.466886810323e-08	  6.215461131883e-08	  9.999196230385e-04	  1.999834012889e-03	  7.076257418880e+00	  8.867159650847e-08	  1.095659518601e+01	  0.000000000000e+00	  3.627616235616e-11	
  6.466886810323e-08	  6.215461131883e-08	  9.999196230385e-04	  1.999834012889e-03	  7.076257418880e+00	  8.867159650858e-08	  1.088631083374e+01	  0.000000000000e+00	  3.627616235611e-11	
  1.110685218903e-07	  1.061453067825e-07	  9.998664475487e-04	  1.999722840042e-03	  7.160741904013e+00	  7.299613017597e-08	 -3.545853447191e+00	  0.000000000000e+00	  7.772436872616e-11	
  1.110681611964e-07	  1.061453067825e-07	  9.998664475487e-04	  1.999722840042e-03	  7.160742387076e+00	  7.299604898270e-08	 -3.538135833803e+00	  0.000000000000e+00	  7.772421360816e-11	
  1.848475022550e-07	  1.755183209501e-07	  9.997864786760e-04	  1.999554084935e-03	  7.277049335302e+00	  5.584600857341e-08	  1.098023752980e+01	  0.000000000000e+00	  1.741949329867e-10	
  1.848475022550e-07	  1.755183209501e-07	  9.997864786760e-04	  1.999554084935e-03	  7.277049335302e+00	  5.584600857337e-08	  1.097880358144e+01	  0.000000000000e+00	  1.741949329868e-10	
  3.006205611184e-07	  2.832713051260e-07	  9.996691979337e-04	  1.999303476409e-03	  7.422594031827e+00	  3.994359249245e-08	 -3.816924171022e+00	  0.000000000000e+00	  4.074039168437e-10	
  3.006199474512e-07	  2.832713051260e-07	  9.996691979337e-04	  1.999303476409e-03	  7.422594616610e+00	  3.994353870787e-08	 -3.804369211311e+00	  0.000000000000e+00	  4.074036728187e-10	
  4.810709650010e-07	  4.489081011462e-07	  9.995015343121e-04	  1.998938513852e-03	  7.589222608884e+00	  2.721561841829e-08	 -3.984711073512e+00	  0.000000000000e+00	  9.787340375200e-10	
  4.810702847610e-07	  4.489081011462e-07	  9.995015343121e-04	  1.998938513852e-03	  7.589223090695e+00	  2.721558822496e-08	 -3.970667867316e+00	  0.000000000000e+00	  9.787337913689e-10	
  7.630405344432e-07	  7.024642104731e-07	  9.992688865978e-04	  1.998416383784e-03	  7.768790193539e+00	  1.799908248582e-08	 -4.161997670688e+00	  0.000000000000e+00	  2.384621211071e-09	
  7.630398431493e-07	  7.024642104731e-07	  9.992688865978e-04	  1.998416383784e-03	  7.768790535973e+00	  1.799906829382e-08	 -4.147658292020e+00	  0.000000000000e+00	  2.384620986078e-09	
  1.198811031248e-06	  1.086494097191e-06	  9.989532308194e-04	  1.997681584097e-03	  7.953217886885e+00	  1.177125234922e-08	 -4.340779806878e+00	  0.000000000000e+00	  5.782059122607e-09	
  1.198810378987e-06	  1.086494097191e-06	  9.989532308194e-04	  1.997681584097e-03	  7.953218105459e+00	  1.177124642491e-08	 -4.326953848802e+00	  0.000000000000e+00	  5.782058930179e-09	
  1.773725249624e-06	  1.616725516601e-06	  9.984887700992e-04	  1.996663291232e-03	  8.116601912566e+00	  8.080503015115e-09	 -4.502549857019e+00	  0.000000000000e+00	  1.250725511316e-08	
  1.773724604439e-06	  1.616725516601e-06	  9.984887700992e-04	  1.996663291232e-03	  8.116602063746e+00	  8.080500202228e-09	 -4.488706576086e+00	  0.000000000000e+00	  1.250725493642e-08	
  2.553692143089e-06	  2.358340140879e-06	  9.978317471463e-04	  1.995272536356e-03	  8.269858481776e+00	  5.677817766212e-09	 -4.655385428585e+00	  0.000000000000e+00	  2.562384759607e-08	
  2.553691495897e-06	  2.358340140879e-06	  9.978317471463e-04	  1.995272536356e-03	  8.269858589559e+00	  5.677816357081e-09	 -4.641510339259e+00	  0.000000000000e+00	  2.562384742909e-08	
  3.628228979368e-06	  3.400973844198e-06	  9.969270295774e-04	  1.993399292456e-03	  8.417776039824e+00	  4.038904609483e-09	 -4.802867980808e+00	  0.000000000000e+00	  5.100775806871e-08	
  3.628228333246e-06	  3.400973844198e-06	  9.969270295774e-04	  1.993399292456e-03	  8.417776116953e+00	  4.038903892176e-09	 -4.788943356151e+00	  0.000000000000e+00	  5.100775791059e-08	
  5.121055382863e-06	  4.868771725882e-06	  9.957072188143e-04	  1.990909613743e-03	  8.562493292050e+00	  2.894319835545e-09	 -4.934516705025e+00	  0.000000000000e+00	  9.979767669239e-08	
