                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944051635397e+00	  1.202238631978e-07	 -6.899083677615e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.838869060595e-34	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944197498338e+00	  1.201834913164e-07	 -6.899229389532e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.433629277900e-09	  4.529343554531e-09	  9.999989615633e-04	  1.999991911306e-03	  6.960117561413e+00	  1.158576635006e-07	 -3.325200749254e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.433601125720e-09	  4.529343554531e-09	  9.999989615633e-04	  1.999991911306e-03	  6.960117602544e+00	  1.158576525281e-07	 -3.324649630280e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.172953779807e-08	  1.302407888709e-08	  9.999971420358e-04	  1.999976657755e-03	  6.990263996549e+00	  1.080882183734e-07	 -3.358005899929e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.172945792441e-08	  1.302407888709e-08	  9.999971420358e-04	  1.999976657755e-03	  6.990264113169e+00	  1.080881893487e-07	 -3.356287331522e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.757783340551e-08	  2.831170347672e-08	  9.999943533450e-04	  1.999949938340e-03	  7.042934008306e+00	  9.574330288142e-08	 -3.415731600350e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.757766606714e-08	  2.831170347672e-08	  9.999943533450e-04	  1.999949938340e-03	  7.042934249650e+00	  9.574324967526e-08	 -3.412016814935e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.248317639142e-08	  5.471128608635e-08	  9.999906200152e-04	  1.999905426943e-03	  7.128080840779e+00	  7.869763760229e-08	 -3.507381531681e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.248288113902e-08	  5.471128608635e-08	  9.999906200152e-04	  1.999905426943e-03	  7.128081246830e+00	  7.869756402256e-08	 -3.500994221920e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.683445110972e-07	  9.899338177810e-08	  9.999865188773e-04	  1.999834015144e-03	  7.252971591254e+00	  5.902978399496e-08	 -3.639000880294e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.683440652486e-07	  9.899338177810e-08	  9.999865188773e-04	  1.999834015144e-03	  7.252972133437e+00	  5.902971030089e-08	 -3.629509699892e+00	  0.000000000000e+00	  0.000000000000e+00	
