                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.000000000000e-10	  1.000000000000e-10	  1.000000000000e-03	  2.000000000000e-03	  6.944051635370e+00	  1.202238632052e-07	 -6.899081015409e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.839106362116e-34	  9.999999999958e-11	  9.999999999958e-04	  1.999999999991e-03	  6.944197498312e+00	  1.201834913237e-07	 -6.899226727323e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.433558346276e-09	  4.529301856386e-09	  9.999989615260e-04	  1.999991911306e-03	  6.960117381359e+00	  1.158577115340e-07	 -3.325519072103e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.433530071090e-09	  4.529301856387e-09	  9.999989615260e-04	  1.999991911306e-03	  6.960117422670e+00	  1.158577005134e-07	 -3.324887518992e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.172932851951e-08	  1.302395625700e-08	  9.999971419258e-04	  1.999976657755e-03	  6.990263477795e+00	  1.080883474818e-07	 -3.358096797000e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.172924862894e-08	  1.302395625700e-08	  9.999971419258e-04	  1.999976657755e-03	  6.990263594439e+00	  1.080883184508e-07	 -3.356301345381e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.757736759559e-08	  2.831143246429e-08	  9.999943531012e-04	  1.999949938340e-03	  7.042932914736e+00	  9.574354396611e-08	 -3.415644697568e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.757720043845e-08	  2.831143246429e-08	  9.999943531012e-04	  1.999949938340e-03	  7.042933155816e+00	  9.574349081799e-08	 -3.411957312063e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.248225009027e-08	  5.471075261788e-08	  9.999906195336e-04	  1.999905426943e-03	  7.128078890627e+00	  7.869799098494e-08	 -3.507379017323e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.248195514154e-08	  5.471075261788e-08	  9.999906195336e-04	  1.999905426943e-03	  7.128079296260e+00	  7.869791748061e-08	 -3.500936745338e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.683427753507e-07	  9.899239518185e-08	  9.999865179822e-04	  1.999834015144e-03	  7.252968597854e+00	  5.903019086060e-08	 -3.638887032431e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.683423301461e-07	  9.899239518185e-08	  9.999865179822e-04	  1.999834015144e-03	  7.252969139254e+00	  5.903011727230e-08	 -3.629428441297e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.938782263390e-07	  1.716835410384e-07	  9.999838146398e-04	  1.999722844019e-03	  7.415285783956e+00	  4.062164277167e-08	 -3.806171016311e+00	  0.000000000000e+00	  0.000000000000e+00	
  2.938776484631e-07	  1.716835410384e-07	  9.999838146398e-04	  1.999722844019e-03	  7.415286341216e+00	  4.062159064849e-08	 -3.794181866948e+00	  0.000000000000e+00	  0.000000000000e+00	
  4.983605316231e-07	  2.890516980012e-07	  9.999866078480e-04	  1.999554091758e-03	  7.602666693266e+00	  2.638623689073e-08	 -3.995951324580e+00	  0.000000000000e+00	  0.000000000000e+00	
