                  Ca	                  Na	                  Cl	                C(4)	                  pH	                  H+	                  pe	             Calcite	
  0.000000000000e+00	  1.000000000000e-03	  1.000000000000e-03	  1.000000000000e+00	  3.179195830712e+00	  6.910386697660e-04	  1.733770893802e+00	  0.000000000000e+00	
  0.000000000000e+00	  1.000000000000e-03	  1.000000000000e-03	  1.000000000000e+00	  3.179195830712e+00	  6.910386697660e-04	  1.733770893802e+00	  0.000000000000e+00	
  3.393172363524e-05	  9.999993582027e-04	  9.999993582026e-04	  1.000033289926e+00	  3.200395152196e+00	  6.586251987544e-04	  1.720401287054e+00	  0.000000000000e+00	
  3.393172363524e-05	  9.999993582027e-04	  9.999993582026e-04	  1.000033289926e+00	  3.200395152196e+00	  6.586251987544e-04	  1.728478046883e+00	  0.000000000000e+00	
  1.082646993724e-04	  9.999979522407e-04	  9.999979522407e-04	  1.000106216940e+00	  3.246445247391e+00	  5.933640503873e-04	  1.511197966062e+01	  0.000000000000e+00	
  1.082646993724e-04	  9.999979522407e-04	  9.999979522407e-04	  1.000106216940e+00	  3.246445247391e+00	  5.933640503873e-04	  1.511264301084e+01	  0.000000000000e+00	
  2.711085222682e-04	  9.999948721510e-04	  9.999948721509e-04	  1.000265980673e+00	  3.343496534139e+00	  4.762755461717e-04	  1.499359214240e+01	  0.000000000000e+00	
  2.711085222682e-04	  9.999948721510e-04	  9.999948721509e-04	  1.000265980673e+00	  3.343496534139e+00	  4.762755461717e-04	  1.499130435361e+01	  0.000000000000e+00	
  6.278614851317e-04	  9.999881243894e-04	  9.999881243894e-04	  1.000615985875e+00	  3.526469454493e+00	  3.149026983691e-04	  1.487470064663e+01	  0.000000000000e+00	
  6.278614851317e-04	  9.999881243894e-04	  9.999881243894e-04	  1.000615985875e+00	  3.526469454493e+00	  3.149026983691e-04	  1.487477526646e+01	  0.000000000000e+00	
  1.409429751569e-03	  9.999733415074e-04	  9.999733415074e-04	  1.001382771259e+00	  3.796506013040e+00	  1.714353922027e-04	  1.196874387998e+00	  0.000000000000e+00	
  1.409429751569e-03	  9.999733415074e-04	  9.999733415074e-04	  1.001382771259e+00	  3.796506013040e+00	  1.714353922027e-04	  1.188162904484e+00	  0.000000000000e+00	
  3.121681675770e-03	  9.999409553136e-04	  9.999409553135e-04	  1.003062636989e+00	  4.106501369573e+00	  8.571722955179e-05	  1.421178127833e+01	  0.000000000000e+00	
