                  Ca	                  Na	                  Cl	                C(4)	                  pH	                  H+	                  pe	             Calcite	
  0.000000000000e+00	  1.000000000000e-03	  1.000000000000e-03	  1.000000000000e+00	  3.179195830712e+00	  6.910386697660e-04	  1.733812802680e+00	  0.000000000000e+00	
  0.000000000000e+00	  1.000000000000e-03	  1.000000000000e-03	  1.000000000000e+00	  3.179195830712e+00	  6.910386697660e-04	  1.733812802680e+00	  0.000000000000e+00	
  3.393172363524e-05	  9.999993582026e-04	  9.999993582026e-04	  1.000033289926e+00	  3.200395152196e+00	  6.586251987544e-04	  1.734649938974e+00	  0.000000000000e+00	
  3.393172363524e-05	  9.999993582026e-04	  9.999993582026e-04	  1.000033289926e+00	  3.200395152196e+00	  6.586251987544e-04	  1.735535542951e+00	  0.000000000000e+00	
  1.082646993724e-04	  9.999979522407e-04	  9.999979522407e-04	  1.000106216940e+00	  3.246445247391e+00	  5.933640503873e-04	  1.510664641646e+01	  0.000000000000e+00	
  1.082646993724e-04	  9.999979522407e-04	  9.999979522407e-04	  1.000106216940e+00	  3.246445247391e+00	  5.933640503873e-04	  1.510548516946e+01	  0.000000000000e+00	
  2.711085222682e-04	  9.999948721509e-04	  9.999948721509e-04	  1.000265980673e+00	  3.343496534139e+00	  4.762755461717e-04	  1.501239444551e+01	  0.000000000000e+00	
  2.711085222682e-04	  9.999948721509e-04	  9.999948721509e-04	  1.000265980673e+00	  3.343496534139e+00	  4.762755461717e-04	  1.501216811447e+01	  0.000000000000e+00	
  6.278614851316e-04	  9.999881243894e-04	  9.999881243894e-04	  1.000615985875e+00	  3.526469454493e+00	  3.149026983692e-04	  1.459122766783e+01	  0.000000000000e+00	
  6.278614851316e-04	  9.999881243894e-04	  9.999881243894e-04	  1.000615985875e+00	  3.526469454493e+00	  3.149026983692e-04	  1.459935092393e+01	  0.000000000000e+00	
  1.409429751569e-03	  9.999733415074e-04	  9.999733415074e-04	  1.001382771259e+00	  3.796506013040e+00	  1.714353922027e-04	  1.245208113805e+00	  0.000000000000e+00	
  1.409429751569e-03	  9.999733415074e-04	  9.999733415074e-04	  1.001382771259e+00	  3.796506013040e+00	  1.714353922027e-04	  1.237203566110e+00	  0.000000000000e+00	
  3.121681675769e-03	  9.999409553135e-04	  9.999409553135e-04	  1.003062636989e+00	  4.106501369573e+00	  8.571722955182e-05	  1.400120744881e+01	  0.000000000000e+00	
  3.121681675769e-03	  9.999409553135e-04	  9.999409553135e-04	  1.003062636989e+00	  4.106501369573e+00	  8.571722955182e-05	  1.400678296682e+01	  0.000000000000e+00	
  6.872871769006e-03	  9.998700038469e-04	  9.998700038467e-04	  1.006742875615e+00	  4.421803562318e+00	  4.260269628487e-05	  1.385073119076e+01	  0.000000000000e+00	
  6.872871769006e-03	  9.998700038469e-04	  9.998700038467e-04	  1.006742875615e+00	  4.421803562318e+00	  4.260269628487e-05	  1.384728631118e+01	  0.000000000000e+00	
  1.509095985541e-02	  9.997145637154e-04	  9.997145637151e-04	  1.014805523570e+00	  4.731643464513e+00	  2.154399128560e-05	  2.174506976539e-01	  0.000000000000e+00	
  1.509095985542e-02	  9.997145637157e-04	  9.997145637154e-04	  1.014805523570e+00	  4.731643464512e+00	  2.154399128564e-05	  2.100827579168e-01	  0.000000000000e+00	
  1.787328052676e-02	  9.996619218806e-04	  9.996619218807e-04	  1.017535202406e+00	  4.797459222703e+00	  1.864873594024e-05	 -5.401806608634e-01	  0.000000000000e+00	
  3.761687451109e-02	  1.000017139687e-03	  1.000017139687e-03	  1.037634014197e+00	  5.083647989954e+00	  9.968070609375e-06	 -5.224216506324e-01	  6.355994174299e+00	
  3.037816890239e-02	  9.994254058468e-04	  9.994254058462e-04	  1.029803574747e+00	  5.002066056777e+00	  1.191521964537e-05	 -3.343201192765e-01	  0.000000000000e+00	
  3.760919901979e-02	  9.995554559092e-04	  9.995554559086e-04	  1.037164654927e+00	  5.083775005063e+00	  9.965063678573e-06	 -3.357288507803e-01	  1.061860701607e+01	
  3.483848889700e-02	  9.993410161613e-04	  9.993410161611e-04	  1.034179505056e+00	  5.054589996967e+00	  1.062185977633e-05	 -2.403183419587e-01	  0.000000000000e+00	
  3.760646097670e-02	  9.993907902055e-04	  9.993907902053e-04	  1.036997251179e+00	  5.083820321375e+00	  9.963991089022e-06	 -2.540394502118e-01	  1.235108351319e+01	
  3.652899718084e-02	  9.993090269605e-04	  9.993090269604e-04	  1.035838024139e+00	  5.072736741806e+00	  1.020847152832e-05	 -2.201787684334e-01	  0.000000000000e+00	
  3.760542319764e-02	  9.993283821890e-04	  9.993283821889e-04	  1.036933805384e+00	  5.083837498195e+00	  9.963584561929e-06	 -2.275613908874e-01	  1.304081087264e+01	
  3.718389644606e-02	  9.992966337251e-04	  9.992966337251e-04	  1.036480530168e+00	  5.079539903867e+00	  1.005767394190e-05	  1.303815389626e+01	  0.000000000000e+00	
  3.760502116008e-02	  9.993042057884e-04	  9.993042057884e-04	  1.036909226945e+00	  5.083844152666e+00	  9.963427073771e-06	  1.302554898978e+01	  1.331331500245e+01	
  3.743972578196e-02	  9.992917923523e-04	  9.992917923523e-04	  1.036731518130e+00	  5.082164720757e+00	  1.000008993131e-05	  1.315922636287e+01	  0.000000000000e+00	
  3.760486410808e-02	  9.992947616054e-04	  9.992947616054e-04	  1.036899625709e+00	  5.083846752190e+00	  9.963365552760e-06	  1.315511734421e+01	  1.342075766486e+01	
  3.753998667446e-02	  9.992898949938e-04	  9.992898949937e-04	  1.036829881664e+00	  5.083188472489e+00	  9.977720006687e-06	 -1.555702525911e-01	  0.000000000000e+00	
  3.760480255876e-02	  9.992910604049e-04	  9.992910604048e-04	  1.036895862959e+00	  5.083847770957e+00	  9.963341442455e-06	 -1.667264314520e-01	  1.346320298377e+01	
  3.757932922688e-02	  9.992891504829e-04	  9.992891504828e-04	  1.036868479704e+00	  5.083589441795e+00	  9.968972094446e-06	 -1.356964094256e-01	  0.000000000000e+00	
  3.760477840665e-02	  9.992896080669e-04	  9.992896080668e-04	  1.036894386468e+00	  5.083848170715e+00	  9.963331981716e-06	 -1.547834909523e-01	  1.348011466678e+01	
  3.759477441507e-02	  9.992888582170e-04	  9.992888582169e-04	  1.036883632627e+00	  5.083746739584e+00	  9.965542436436e-06	 -1.836413978622e-01	  0.000000000000e+00	
  3.760476892569e-02	  9.992890379213e-04	  9.992890379212e-04	  1.036893806841e+00	  5.083848327654e+00	  9.963328267602e-06	 -1.650739276036e-01	  1.348716337218e+01	
  3.760083448302e-02	  9.992887435588e-04	  9.992887435587e-04	  1.036889578036e+00	  5.083808439086e+00	  9.964197487284e-06	 -1.832331418841e-01	  0.000000000000e+00	
  3.760476520588e-02	  9.992888142343e-04	  9.992888142342e-04	  1.036893579435e+00	  5.083848389225e+00	  9.963326810463e-06	 -1.799614835421e-01	  1.349080470324e+01	
  3.760317710790e-02	  9.992886992458e-04	  9.992886992456e-04	  1.036891876347e+00	  5.083832287414e+00	  9.963677681011e-06	 -1.346249275059e-01	  0.000000000000e+00	
  3.760476376807e-02	  9.992887277744e-04	  9.992887277742e-04	  1.036893491536e+00	  5.083848413023e+00	  9.963326247241e-06	 -1.319793340213e-01	  1.349399042854e+01	
  3.760381406779e-02	  9.992886871999e-04	  9.992886871997e-04	  1.036892501261e+00	  5.083838771516e+00	  9.963536356006e-06	 -1.992643253382e-01	  0.000000000000e+00	
  3.760476337718e-02	  9.992887042688e-04	  9.992887042686e-04	  1.036893467640e+00	  5.083848419493e+00	  9.963326094120e-06	 -1.920366950902e-01	  1.349602521479e+01	
