#0#0#0#1#100000#0#4.2.13 #########################################
1 1 4
1 1
HEAD, m	
0	1.000000000000000E+01
1	9.992940643521000E+00
2	9.988053605931000E+00
3	9.977594285864000E+00
4	9.969003308912000E+00
5	9.961963076792000E+00
6	9.953835718075000E+00
7	9.949016682233000E+00
8	9.942426968340000E+00
9	9.934955197718000E+00
10	9.928390296584000E+00
11	9.924446086323000E+00
12	9.918840946894000E+00
13	9.908275047854000E+00
14	9.891531678323000E+00
15	9.879532289809000E+00
16	9.870468502529000E+00
17	9.862962687968000E+00
18	9.852097299069000E+00
19	9.838260048397000E+00
20	9.827285662898000E+00
21	9.820741225193000E+00
22	9.800975172779000E+00
23	9.777641260218000E+00
24	9.746881541117000E+00
25	9.721705038827000E+00
26	9.703803594194000E+00
27	9.670565551207000E+00
28	9.648226791489000E+00
29	9.633063659750000E+00
30	9.621412750388000E+00
31	9.613911333794000E+00
32	9.590934117015000E+00
33	9.573797007613000E+00
34	9.564278045306000E+00
35	9.556347010587000E+00
36	9.548864514288000E+00
37	9.540872373833000E+00
38	9.532267153024000E+00
39	9.519594283699000E+00
40	9.509786896153000E+00
41	9.490554372753000E+00
42	9.470859065358000E+00
43	9.453464361925000E+00
44	9.437988991992000E+00
45	9.414282113281000E+00
46	9.391165719608000E+00
47	9.361373278916000E+00
48	9.335766971580000E+00
49	9.305599559894000E+00
50	9.258736787625000E+00
51	9.222315277803000E+00
52	9.201251143874000E+00
53	9.176249149389000E+00
54	9.155235039116000E+00
55	9.126951546130000E+00
56	9.085913744127000E+00
57	9.060837523856000E+00
58	9.041908737429000E+00
59	9.008998242281000E+00
60	8.986898427985000E+00
61	8.961955675902000E+00
62	8.941499870259000E+00
63	8.895157080395000E+00
64	8.859519994432000E+00
65	8.798843727905000E+00
66	8.755222855698000E+00
67	8.716695220235000E+00
68	8.649639850240000E+00
69	8.608711059406000E+00
70	8.569463299794000E+00
71	8.533013344952000E+00
72	8.515312212906000E+00
73	8.488214590960000E+00
74	8.468978899972000E+00
75	8.456288415163000E+00
76	8.442624843315000E+00
77	8.429483519997000E+00
78	8.417639014945000E+00
79	8.402296509029000E+00
80	8.394254177855000E+00
81	8.386332589039000E+00
82	8.371415088123000E+00
83	8.362227555946000E+00
84	8.354500518623000E+00
85	8.349935637044000E+00
86	8.343538500204000E+00
87	8.340571281920000E+00
88	8.338422391250000E+00
89	8.336297548160000E+00
90	8.334584925112000E+00
91	8.331599698398000E+00
92	8.329058110792000E+00
93	8.327703660690000E+00
94	8.325585865993000E+00
95	8.322046972688000E+00
96	8.315171611505000E+00
97	8.306378419982000E+00
98	8.282909763566000E+00
99	8.259224130693000E+00
100	8.220085132309000E+00
101	1.000000000000000E+01
102	9.992540408495000E+00
103	9.987031130252000E+00
104	9.979014942451000E+00
105	9.969122490367000E+00
106	9.962909124398000E+00
107	9.954875809505000E+00
108	9.948988410439000E+00
109	9.941280213577000E+00
110	9.935237505118000E+00
111	9.929538299998000E+00
112	9.924435888751000E+00
113	9.919170176343000E+00
114	9.907305815111000E+00
115	9.891322328768000E+00
116	9.880155700794000E+00
117	9.870923440557000E+00
118	9.863016673755000E+00
119	9.853563945124000E+00
120	9.837758624322000E+00
121	9.828038678662000E+00
122	9.819751732151000E+00
123	9.803872914389000E+00
124	9.775247692927000E+00
125	9.749192502985000E+00
126	9.723596555783000E+00
127	9.703437170530000E+00
