Distanz;PRESSURE1 
0;135740,7
1;134583,293
2;133425,886
3;132268,479
4;131111,072
5;129953,665
6;128796,258
7;127638,851
8;126481,444
9;125324,037
10;124166,63
11;123009,223
12;121851,816
13;120694,409
14;119537,002
15;118379,595
16;117222,188
17;116064,781
18;114907,374
19;113749,967
20;112592,56
21;111435,153
22;110277,746
23;109120,339
24;107962,932
25;106805,525
26;105648,118
27;104490,711
28;103333,304
29;102175,897
30;101018,49
31;99861,083
32;98703,676
33;97546,269
34;96388,862
35;95231,455
36;94074,048
37;92916,641
38;91759,234
39;90601,827
40;89444,42
41;88287,013
42;87129,606
43;85972,199
44;84814,792
45;83657,385
46;82499,978
47;81342,571
48;80185,164
49;79027,757
50;77870,35
51;76712,943
52;75555,536
53;74398,129
54;73240,722
55;72083,315
56;70925,908
57;69768,501
58;68611,094
59;67453,687
60;66296,28
61;65138,873
62;63981,466
63;62824,059
64;61666,652
65;60509,245
66;59351,838
67;58194,431
68;57037,024
69;55879,617
70;54722,21
71;53564,803
72;52407,396
73;51249,989
74;50092,582
75;48935,175
76;47777,768
77;46620,361
78;45462,954
79;44305,547
80;43148,14
81;41990,733
82;40833,326
83;39675,919
84;38518,512
85;37361,105
86;36203,698
87;35046,291
88;33888,884
89;32731,477
90;31574,07
91;30416,663
92;29259,256
93;28101,849
94;26944,442
95;25787,035
96;24629,628
97;23472,221
98;22314,814
99;21157,407
100;20000
