Distanz;PRESSURE1 ;TRACER 
0;999,999999999;1
,05;999,999999999;1
,1;999,999999999;1
,1499;999,999999999;1
,2;999,999999999;1
,25;999,999999999;1
,2999;999,999999999;1
,3499;876,3403607357;,8730939556761
,4;774,9782975454;,7640523793915
,45;688,3856318577;,6681228033788
,5;610,1274938342;,5789301618218
,55;539,3317438719;,4996119000252
,5999;472,2750779935;,4301692698295
,65;409,0623665448;,3702100855397
,6999;348,1932394659;,3207026428329
,75;288,7104151722;,2784432818295
,8;229,7334031427;,2447752454757
,8499;171,3427316507;,2198203171043
,9;113,6910943279;,2018065771596
,9499;56,82491205132;,1910166749777
1;0;,1876503531383
