Distanz;PRESSURE1 ;TRACER 
0;999,999999999;1
,05;999,999999999;1
,1;999,999999999;1
,1499;999,999999999;1
,2;999,999999999;1
,25;999,999999999;1
,2999;999,999999999;1
,3499;876,3403607357;,8559193621379
,4;774,9782975454;,7499103249747
,45;688,3856318577;,6689044497688
,5;610,1274938342;,5974976832501
,55;539,3317438719;,5356530461294
,5999;472,2750779935;,4817102056228
,65;409,0623665448;,4345786340777
,6999;348,1932394659;,3945994215807
,75;288,7104151722;,3599304365017
,8;229,7334031427;,3316474450102
,8499;171,3427316507;,3100530047697
,9;113,6910943279;,2943503825853
,9499;56,82491205132;,2847736891842
1;0;,2817083889487
